subject_id,teacher_acc,teacher_f1_macro,teacher_f1_weighted,student_acc,student_f1_macro,student_f1_weighted,train_samples,test_samples,best_epoch_teacher,best_epoch_student,train_time_s
1,0.8083,0.8041,0.8041,0.625,0.6052,0.6052,0,0,6,33,25.28
2,0.9333,0.9299,0.9299,0.6417,0.6223,0.6223,0,0,28,16,27.55
3,0.8417,0.843,0.843,0.475,0.4441,0.4441,0,0,10,12,19.63
4,0.875,0.8732,0.8732,0.6333,0.604,0.604,0,0,17,41,29.84
5,0.925,0.9243,0.9243,0.375,0.3005,0.3005,0,0,28,2,16.12
6,0.8917,0.8952,0.8952,0.4917,0.4377,0.4377,0,0,9,9,13.64
7,0.925,0.9244,0.9244,0.6,0.5838,0.5838,0,0,15,34,28.49
8,0.8583,0.8592,0.8592,0.4417,0.3968,0.3968,0,0,20,5,18.12
9,0.8833,0.8803,0.8803,0.5,0.4563,0.4563,0,0,15,28,20.31
10,0.7917,0.7889,0.7889,0.425,0.3516,0.3516,0,0,19,1,15.31
11,0.6833,0.671,0.671,0.3667,0.3251,0.3251,0,0,6,8,14.31
12,0.875,0.8774,0.8774,0.45,0.4534,0.4534,0,0,25,15,24.41
13,0.9083,0.9078,0.9078,0.5167,0.499,0.499,0,0,37,15,29.69
14,0.8583,0.8597,0.8597,0.475,0.4651,0.4651,0,0,17,31,25.69
15,0.8833,0.8823,0.8823,0.4167,0.3458,0.3458,0,0,20,5,18.36
16,0.8,0.7988,0.7988,0.4083,0.3656,0.3656,0,0,15,7,15.97
17,0.9167,0.9147,0.9147,0.6583,0.6273,0.6273,0,0,15,50,29.52
18,0.8,0.7939,0.7939,0.525,0.4786,0.4786,0,0,22,2,17.92
19,0.775,0.7754,0.7754,0.65,0.644,0.644,0,0,36,27,29.36
20,0.9583,0.9578,0.9578,0.7833,0.7687,0.7687,0,0,7,16,17.03
21,0.9333,0.933,0.933,0.625,0.6033,0.6033,0,0,9,16,17.27
22,0.8417,0.8375,0.8375,0.7417,0.7368,0.7368,0,0,17,23,23.56
23,0.8083,0.7969,0.7969,0.5917,0.5225,0.5225,0,0,16,9,17.92
24,0.95,0.9487,0.9487,0.7333,0.7267,0.7267,0,0,33,24,26.67
25,0.9083,0.9101,0.9101,0.45,0.432,0.432,0,0,20,32,24.39
26,0.8333,0.832,0.832,0.475,0.4622,0.4622,0,0,14,3,13.3
27,0.9083,0.908,0.908,0.775,0.7702,0.7702,0,0,26,14,25.02
28,0.875,0.8752,0.8752,0.7417,0.7447,0.7447,0,0,29,17,24.0
29,0.85,0.847,0.847,0.425,0.3776,0.3776,0,0,29,13,23.66
30,0.775,0.783,0.783,0.5083,0.4811,0.4811,0,0,20,22,21.99
31,0.825,0.8204,0.8204,0.4583,0.443,0.443,0,0,23,11,20.87
32,0.8583,0.8575,0.8575,0.6,0.5905,0.5905,0,0,14,11,17.63
33,0.9333,0.9327,0.9327,0.7417,0.7433,0.7433,0,0,25,27,23.68
34,0.7917,0.7816,0.7816,0.3167,0.2217,0.2217,0,0,22,1,15.81
35,0.7667,0.7699,0.7699,0.2917,0.2492,0.2492,0,0,29,15,25.91
36,0.875,0.8733,0.8733,0.5917,0.5614,0.5614,0,0,29,23,28.05
37,0.675,0.6727,0.6727,0.4667,0.4021,0.4021,0,0,13,3,16.83
38,0.8583,0.8556,0.8556,0.5917,0.5797,0.5797,0,0,8,12,13.0
39,0.9333,0.9332,0.9332,0.4583,0.4122,0.4122,0,0,31,2,17.31
40,0.65,0.6507,0.6507,0.5667,0.5618,0.5618,0,0,10,33,24.55
41,0.775,0.7658,0.7658,0.4667,0.4354,0.4354,0,0,20,24,25.21
42,0.7833,0.7859,0.7859,0.4917,0.4791,0.4791,0,0,37,16,27.87

=== SUMMARY ===
num_subjects,42
teacher_mean_acc,0.8476
teacher_std_acc,0.0732
teacher_mean_f1_macro,0.846
teacher_std_f1_macro,0.0742
teacher_mean_f1_weighted,0.846
teacher_std_f1_weighted,0.0742
student_mean_acc,0.5373
student_std_acc,0.1242
student_mean_f1_macro,0.5074
student_std_f1_macro,0.1404
student_mean_f1_weighted,0.5074
student_std_f1_weighted,0.1404
